Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EICHERMOT,EQ,2-Feb-18,28047.35,27901,28521.5,27200,27850,27811.75,28035.08,149859,4201308992,47507,87084,58.11
EICHERMOT,EQ,5-Feb-18,27811.75,27300,27799,27300,27672.4,27537.95,27550.19,48683,1341226060,17307,27395,56.27
EICHERMOT,EQ,6-Feb-18,27537.95,26545.55,28050,26500,27619.65,27579.25,27342.26,61408,1679033441,22545,26742,43.55
EICHERMOT,EQ,7-Feb-18,27579.25,27919.65,28410.95,27120.1,27905.35,28010.45,27853.49,138851,3867484264,50043,57848,41.66
EICHERMOT,EQ,8-Feb-18,28010.45,28230,28350,27810,28170.35,28198,28163.22,68533,1930110091,24671,33932,49.51
EICHERMOT,EQ,9-Feb-18,28198,27605,27950,27560,27701,27747.95,27740.61,33515,929726385,15905,14570,43.47
EICHERMOT,EQ,12-Feb-18,27747.95,27751,28000,27706.5,27802.05,27901.4,27890.33,17594,490702488.1,6743,5626,31.98
EICHERMOT,EQ,14-Feb-18,27901.4,27820,28217.45,27752.6,27959,28027.6,28041.19,37999,1065537309,16506,18115,47.67
EICHERMOT,EQ,15-Feb-18,28027.6,28200,28399,28100,28310.3,28340.45,28283.5,30232,855066651.6,10320,11276,37.3
EICHERMOT,EQ,16-Feb-18,28340.45,28400,28424.95,27151,27401,27328.15,27629.76,49309,1362395972,18072,19326,39.19
EICHERMOT,EQ,19-Feb-18,27328.15,27485,27558.8,26695.7,27070,27089.5,27107.13,33266,901745872.6,10422,10715,32.21
EICHERMOT,EQ,20-Feb-18,27089.5,27120,27399.9,26801,26850.15,26916.4,27088.95,21098,571522570.4,7454,5989,28.39
EICHERMOT,EQ,21-Feb-18,26916.4,27124,27480,27043.6,27400,27365.75,27258.07,36682,999880584.4,13635,19071,51.99
